Date,Team,Acquired,Relinquished,Notes
2013-08-20, Texans, ,  Antonio Smith (a), suspended by NFL for 2 preseason games and 1 regular season game
2013-08-26, Vikings, ,  Jerome Felton, suspended by NFL for 3 games for violating the league's substance abuse policy
2013-08-27, Jets, ,  Mike Goodson, suspended by NFL for 4 games for violating the league's substance abuse policy
2013-08-30, Bengals, ,  DeQuin Evans, suspended by NFL for 8 games for violating the league's substance abuse policy
2013-08-31, 49ers, ,  Demarcus Dobbs, placed on reserve/suspended list
2013-08-31, Browns, ,  Josh Gordon, placed on reserve/suspended list
2013-08-31, Giants, ,  Will Hill III, placed on reserve/suspended list (E)
2013-08-31, Jets, ,  Mike Goodson, placed on reserve/suspended list
2013-08-31, Rams, ,  Isaiah Pead, placed on reserve/suspended list
2013-08-31, Rams, ,  Jo-Lonn Dunbar, placed on reserve/suspended list
2013-08-31, Ravens, ,  Christian Thompson, placed on reserve/suspended list
2013-08-31, Ravens,  Asa Jackson, , reinstated from suspension
2013-08-31, Vikings, ,  Demarcus Love, placed on reserve/suspended list
2013-08-31, Vikings, ,  Jerome Felton, placed on reserve/suspended list
2013-09-04, , ,  R.J. Mattes, suspended by NFL for 4 games
2013-09-09, 49ers,  Demarcus Dobbs, , reinstated from suspension
2013-09-09, Buccaneers,  Jeff Demps, , reinstated from suspended/did-not-report list
2013-09-09, Chiefs,  Rokevious Watkins, , reinstated from suspension
2013-09-09, Rams,  Isaiah Pead, , reinstated from suspension
2013-09-10, , ,  Brandon McDonald, suspended by NFL for 2 games
2013-09-10, , ,  Tom Zbikowski, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2013-09-10, Lions, ,  Ndamukong Suh, fined $100K by NFL
2013-09-10, Texans,  Antonio Smith (a), , reinstated from suspension
2013-09-16, Browns,  Josh Gordon, , reinstated from suspension
2013-09-16, Buccaneers, ,  Dashon Goldson, suspended by NFL for 1 game
2013-09-17, ,  Quentin Saulsberry, , reinstated from suspension
2013-09-18, , ,  Jordan Roberts, suspended by NFL
2013-09-18, Redskins, ,  Brandon Meriweather," fined $42,000 by NFL"
2013-09-18, Buccaneers,  Dashon Goldson, , previous suspension overturned by NFL
2013-09-18, Buccaneers, ,  Dashon Goldson, fined $100K by NFL
2013-09-20, Browns, ,  Paul Kruger," fined $7,875 by NFL"
2013-09-20, Buccaneers, ,  Adrian Clayborn," fined $21,000 by NFL"
2013-09-20, Buccaneers, ,  Ahmad Black," fined $21,000 by NFL"
2013-09-20, Eagles, ,  DeMeco Ryans," fined $21,000 by NFL"
2013-09-20, Jets, ,  D'Brickashaw Ferguson," fined $15,000 by NFL"
2013-09-20, Jets, ,  Willie Colon," fined $34,125 by NFL"
2013-09-20, Patriots, ,  Alfonzo Dennard," fined $7,875 by NFL"
2013-09-20, Patriots, ,  Chandler Jones (a)," fined $15,750 by NFL"
2013-09-20, Patriots, ,  Vince Wilfork," fined $7,875 by NFL"
2013-09-20, Titans, ,  Bernard Pollard," fined $42,000 by NFL"
2013-09-20, Titans, ,  Jackie Battle," fined $21,000 by NFL"
2013-09-23, Vikings,  Jerome Felton, , reinstated from suspension
2013-09-23, Vikings,  Jerome Felton, , activated from reserve/suspended list
2013-09-25, Cowboys, ,  Dez Bryant," fined $7,875 by NFL"
2013-09-27, Bengals, ,  Vontaze Burfict," fined $31,000 by NFL"
2013-09-27, Eagles, ,  Alex Henery," fined $15,750 by NFL"
2013-09-27, Lions, ,  Nick Fairley," fined $10,000 by NFL"
2013-09-27, Panthers, ,  Cam Newton (b)," fined $10,000 by NFL"
2013-09-27, Seahawks, ,  Golden Tate," fined $21,000 by NFL"
2013-09-27, Steelers, ,  Antonio Brown (b)," fined $7,875 by NFL"
2013-09-27, Steelers, ,  Jonathan Dwyer," fined $21,000 by NFL"
2013-09-27, Texans, ,  Whitney Mercilus," fined $15,750 by NFL"
2013-09-30, , ,  Braden Brown, suspended by NFL for 4 games
2013-09-30, Cardinals,  Daryl Washington, , reinstated from suspension
2013-09-30, Colts,  LaVon Brazill, , reinstated from suspension
2013-09-30, Giants,  Will Hill III, , reinstated from suspension
2013-09-30, Jaguars,  Justin Blackmon, , reinstated from suspension
2013-09-30, Jets,  Mike Goodson, , reinstated from suspension
2013-09-30, Raiders,  Andre Holmes, , reinstated from suspension
2013-09-30, Rams,  Jo-Lonn Dunbar, , reinstated from suspension
2013-09-30, Ravens,  Christian Thompson, , reinstated from suspension
2013-09-30, Redskins,  Jarvis Jenkins, , reinstated from suspension
2013-09-30, Redskins,  Rob Jackson, , reinstated from suspension
2013-09-30, Seahawks,  Bruce Irvin, , reinstated from suspension
2013-09-30, Vikings,  Demarcus Love, , reinstated from suspension
2013-10-01, ,  Gabe Miller, , reinstated from suspension
2013-10-01, ,  R.J. Mattes, , reinstated from suspension
2013-10-01, 49ers, ,  Donte Whitner," fined $21,000 for hit on opposing player"
2013-10-01, Giants,  Brandon Collins, , reinstated from suspension
2013-10-05, Jets,  Mike Goodson, , activated from exempt list
2013-10-05, Seahawks,  Bruce Irvin, , activated from roster exempt status
2013-10-08, ,  Tom Zbikowski, , reinstated from suspension
2013-10-11, Bills, ,  Aaron Williams (b)," fined $21,000 by NFL"
2013-10-11, Bills, ,  Fred Jackson," fined $7,875 by NFL"
2013-10-11, Cardinals, ,  Daryl Washington," fined $21,000 by NFL"
2013-10-11, Cowboys, ,  George Selvie," fined $7,875 by NFL"
2013-10-11, Giants, ,  Will Hill III," fined $15,750 by NFL"
2013-10-11, Jets, ,  Kellen Winslow Jr., suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2013-10-11, Lions, ,  Israel Idonije," fined $15,750 by NFL"
2013-10-11, Packers, ,  Jerron McMillian," fined $15,750 by NFL"
2013-10-11, Patriots, ,  Brandon Spikes," fined $7,875 by NFL"
2013-10-14, Broncos,  Von Miller, , reinstated from suspension
2013-10-15, ,  Jordan Roberts, , reinstated from suspension
2013-10-18, 49ers, ,  Alex Boone," fined $7,875 by NFL"
2013-10-18, Bengals, ,  Vontaze Burfict," fined $7,875 by NFL"
2013-10-18, Cardinals, ,  Alameda Ta'amu," fined $10,000 by NFL"
2013-10-18, Cardinals, ,  Darnell Dockett," fined $7,875 by NFL"
2013-10-18, Cowboys, ,  Cameron Lawrence," fined $21,000 by NFL"
2013-10-18, Lions, ,  Ndamukong Suh," fined $31,500 by NFL"
2013-10-18, Packers, ,  Jermichael Finley," fined $15,750 by NFL"
2013-10-18, Patriots, ,  Brandon Spikes," fined $10,500 by NFL"
2013-10-18, Redskins, ,  Perry Riley Jr.," fined $15,750 by NFL"
2013-10-18, Saints, ,  Malcolm Jenkins," fined $15,750 by NFL"
2013-10-18, Titans, ,  Michael Preston," fined $7,875 by NFL"
2013-10-21, Redskins, ,  Brandon Meriweather, suspended by NFL for 2 games
2013-10-23, Redskins, ,  Brandon Meriweather, earlier suspension reduced from 2 games to 1 game
2013-10-25, Broncos, ,  Kevin Vickerson," fined $10,000 by NFL"
2013-10-25, Panthers, ,  Mike Mitchell (b)," fined $7,875 by NFL"
2013-10-25, Panthers, ,  Steve Smith (L.) / Steve Smith Sr.," fined $7,875 by NFL"
2013-10-25, Patriots, ,  Logan Ryan," fined $10,000 by NFL"
2013-10-25, Rams, ,  Brian Quick," fined $7,875 by NFL"
2013-10-25, Rams, ,  Chris Long," fined $15,750 by NFL"
2013-10-25, Rams, ,  Harvey Dahl," fined $7,875 by NFL"
2013-10-25, Ravens, ,  Elvis Dumervil," fined $7,875 by NFL"
2013-10-25, Redskins, ,  Brian Orakpo," fined $15,750 by NFL"
2013-10-28, Bengals,  DeQuin Evans, , reinstated from suspension
2013-10-28, Redskins,  Brandon Meriweather, , reinstated from suspension
2013-10-29, ,  Braden Brown, , reinstated from suspension
2013-10-29, Colts,  Weslye Saunders, , reinstated from suspension
2013-11-01, Bengals, ,  Vontaze Burfict," fined $21,000 by NFL"
2013-11-01, Bills, ,  Mario Williams," fined $7,875 by NFL"
2013-11-01, Broncos, ,  Kevin Vickerson," fined $7,875 by NFL"
2013-11-01, Broncos, ,  Malik Jackson (b)," fined $7,875 by NFL"
2013-11-01, Broncos, ,  Wesley Woodyard," fined $15,750 by NFL"
2013-11-01, Browns, ,  Joe Haden," fined $7,875 by NFL"
2013-11-01, Falcons, ,  Osi Umenyiora," sined $15,750 by NFL"
2013-11-01, Falcons, ,  William Moore," fined $15,750 by NFL"
2013-11-01, Jaguars, ,  Justin Blackmon, suspended by NFL indefinitely for violation of the league's substance abuse policy
2013-11-01, Jets, ,  David Nelson (b)," fined $7,875 by NFL"
2013-11-01, Lions, ,  Joseph Fauria," fined $7,875 by NFL"
2013-11-01, Seahawks, ,  Golden Tate," fined $7,875 by NFL"
2013-11-03, Dolphins, ,  Richie Incognito, suspended by team indefinitely for conduct detrimental to the team
2013-11-04, Jets,  Kellen Winslow Jr., , reinstated from suspension
2013-11-08, , ,  Edwin Williams, suspended by NFL
2013-11-12, Jaguars, ,  LaRoy Reynolds, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2013-11-18, Buccaneers, ,  Dashon Goldson, suspended by NFL for 1 game for violation of league's player safety rules
2013-11-18, Colts, ,  Erik Walden, suspended by NFL for 1 game for violation of league player safety rules
2013-11-20, 49ers, ,  Ahmad Brooks," fined $15,570 by NFL"
2013-11-25, Buccaneers,  Dashon Goldson, , reinstated from suspension
2013-11-25, Colts,  Erik Walden, , reinstated from suspension
2013-11-25, Seahawks, ,  Walter Thurmond III, suspended by NFL for 4 games
2013-11-25, Titans, ,  Michael Griffin, suspended by NFL for 1 game for violation of player safety rules
2013-11-29, , ,  A.J. Jefferson (a), suspended by NFL for arrest on charged of felony domestic assault
2013-12-02, Titans,  Michael Griffin, , reinstated from suspension
2013-12-03, ,  Edwin Williams, , reinstated from suspension
2013-12-03, Lions, ,  Travis Lewis, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2013-12-04, Steelers, ,  Mike Tomlin, fined $100K by NFL for interering with the field of play
2013-12-06, Jaguars,  LaRoy Reynolds, , reinstated from suspension
2013-12-18, Seahawks, ,  Brandon Browner, suspended by NFL indefinitely for violation of the league's substance abuse policy
2013-12-23, Seahawks,  Walter Thurmond III, , reinstated from suspension
2013-12-24, ,  A.J. Jefferson (a), , reinstated from suspension
2013-12-27, Seahawks,  Walter Thurmond III, , reinstated from suspended list
2013-12-30, Lions,  Travis Lewis, , reinsated from suspension (date 2014-02-03 per NFL)
2014-01-24, Seahawks, ,  Richard Sherman," fined $7,875 by NFL"
2014-02-04, Dolphins,  Richie Incognito, , reinstated from suspension
2014-02-19, Redskins, ,  Fred Davis (d), suspended by NFL indefinitely for violation of the league's substance abuse policy
2014-03-04, Seahawks,  Brandon Browner, , reinsatated from suspension
2014-03-05, Seahawks, ,  Brandon Browner, ssupended by NFL for 4 games
2014-04-04, Eagles, ,  Jake Knott, suspended by NFL for 4 games
2014-04-08, Redskins, ,  Brandon Moore (c), suspended by NFL for 4 games for violating the league's substance abuse policy
2014-05-02, Panthers, ,  Frank Alexander, suspended by NFL for 4 games for violating the league's substance abuse policy
2014-05-05, Redskins,  Tanard Jackson, , reinstated from suspension
2014-05-12, Rams, ,  Stedman Bailey, suspended by NFL for 4 games
2014-05-16, Colts, ,  Robert Mathis, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-05-21, , ,  Marlon Moore, suspended by NFL for 1 game
2014-05-30, Cardinals, ,  Daryl Washington, suspended by NFL indefinitely for violation of the league's substance abuse policy
2014-05-30, Giants, ,  Will Hill III, suspended by NFL for 6 games for violating the league's substance abuse policy
2014-06-04, Giants, ,  Jayron Hosley, suspended by NFL for 4 games for violating the league's substance abuse policy
2014-06-30, Eagles, ,  Lane Johnson, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs (date 07-23 per CBC)
2014-07-03, Chiefs, ,  Rokevious Watkins, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-07-03, Colts, ,  LaVon Brazill, suspended by NFL indefinitely (later reduced to 10 games)
2014-07-03, Dolphins, ,  Dion Jordan, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-07-09, Redskins, ,  Tanard Jackson, suspended by NFL indefinitely for violating the league's substance abuse policy
2014-07-11, Vikings, ,  Spencer Nealy, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-07-22, Jaguars, ,  Ace Sanders, suspended by NFL for 4 games for violating the league's substance abuse policy
2014-07-24, Ravens, ,  Ray Rice, suspended by NFL for 2 games for violating the league's personal conduct policy
2014-07-30, Bengals, ,  Chris Lewis-Harris, suspended by NFL for 2 games for violating the league's substance abuse policy
2014-07-30, Bills, ,  Nigel Bradham, suspended by NFL for 1 game for violating the league's substance abuse policy
2014-08-05, Bears, ,  Martellus Bennett, suspended by team indefinitely and fined an undisclosed amount for conduct detrimental to the team
2014-08-08, Dolphins, ,  Reshad Jones, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-08-08, Giants, ,  Eric Herman, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-08-08, Patriots, ,  Brian Tyms, suspended by NFL for 4 games for violating the league's substance abuse policy
2014-08-10, Bears,  Martellus Bennett, , reinstated from suspension
2014-08-11, Cowboys, ,  Orlando Scandrick, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-08-15, Chiefs, ,  Dwayne Bowe, suspended by NFL for 1 game for violating the league's substance abuse policy
2014-08-22, Browns, ,  Johnny Manziel," fined $12,000 by NFL"
2014-08-22, Chiefs, ,  Donald Stephenson, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-08-22, Saints, ,  Jimmy Graham," fined $30,000 by NFL for dunking footballs over goalposts after touchdowns"
2014-08-24, Broncos, ,  Matt Prater, suspended by NFL for 4 games
2014-08-25, Jets, ,  Dimitri Patterson, suspended by team indefinitely for leaving team without notice
2014-08-25, Redskins, ,  Brandon Meriweather, suspended by NFL for 2 games for violation of NFL player safety rules
2014-08-27, Browns, ,  Josh Gordon, suspended by NFL for 2014 season (later reduced to 10 games) for violating the league's substance abuse policy
2014-08-28, Broncos, ,  Peyton Manning," fined $8,268 by NFL for taunting"
2014-08-28, Cowboys, ,  Jakar Hamilton, suspended by NFL for 4 games for violating the league's substance abuse policy
2014-08-29, 49ers, ,  Aldon Smith, suspended by NFL for 9 games for violating the league's substance abuse policy
2014-08-29, Bengals, ,  Dre Kirkpatrick," fined $22,050 by NFL"
2014-08-29, Vikings, ,  Jerome Simpson, suspended by NFL for 3 games for violating the league's substance abuse policy
2014-08-30, Browns, ,  Marlon Brown (c), placed on suspended list
2014-08-30, Raiders, ,  Rokevious Watkins, suspended by NFL
2014-08-30, Ravens, ,  Will Hill III, suspended by NFL
2014-08-30, Jets,  Dimitri Patterson, , reinstated from suspension
2014-09-02, Broncos, ,  Wes Welker, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-09-02, Cowboys, ,  Josh Price-Brent / Josh Brent, suspended by NFL for 10 games for violating the league's personal conduct policy
2014-09-04, , ,  Andre Brown (b), suspended by NFL for 8 games
2014-09-04, , ,  Dominique Davis (a), suspended by NFL for 1 game
2014-09-04, , ,  Erin Henderson, suspended by NFL for 4 games
2014-09-05, , ,  Chris Scott (b), suspended by NFL
2014-09-05, Panthers, ,  D.C. Jefferson, suspended by NFL for 4 games
2014-09-08, Bills,  Nigel Bradham, , reinstated from suspension
2014-09-08, Browns,  Marlon Moore, , reinstated from suspension
2014-09-08, Chiefs,  Dwayne Bowe, , reinstated from suspension
2014-09-08, Ravens, ,  Ray Rice, suspended by NFL indefinitely for violating the league's personal conduct policy
2014-09-09, ,  Dominique Davis (a), , reinstated from suspension
2014-09-15, Bengals,  Chris Lewis-Harris, , reinstated from suspension
2014-09-15, Redskins,  Brandon Meriweather, , reinstated from suspension
2014-09-15, Vikings,  Mike Priefer, , reinstated as special team coordinator
2014-09-17, Broncos,  Wes Welker, , reinstated from suspension
2014-09-17, Cowboys,  Orlando Scandrick, , reinstated from suspension
2014-09-17, Giants,  Eric Herman, , reinstated from suspension
2014-09-17, Rams,  Stedman Bailey, , reinstated from suspension
2014-09-19, , ,  LaVon Brazill, earlier suspension reduced by NFL to 10 games
2014-09-19, Browns, ,  Josh Gordon, earlier suspension reduced by NFL to 10 games
2014-09-19, Dolphins,  Dion Jordan, , reinstated from suspension
2014-09-19, Dolphins, ,  Dion Jordan, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-09-23, ,  Jerome Simpson, , reinstated from suspension
2014-09-26, Giants,  Jayron Hosley, , reinstated from suspension
2014-09-29, ,  Brandon Moore (c), , reinstated from suspension
2014-09-29, ,  Chris Scott (b), , reinstated from suspension
2014-09-29, ,  D.C. Jefferson, , reinstated from suspension
2014-09-29, ,  Jake Knott, , reinstated from suspension
2014-09-29, Broncos,  Matt Prater, , reinstated from suspension
2014-09-29, Colts, ,  LaRon Landry, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-09-29, Cowboys,  Jakar Hamilton, , reinstated from suspension
2014-09-29, Dolphins,  Reshad Jones, , reinstated from suspension
2014-09-29, Eagles,  Lane Johnson, , reinstated from suspension
2014-09-29, Jaguars,  Ace Sanders, , reinstated from suspension
2014-09-29, Raiders,  Rokevious Watkins, , reinstated from suspension
2014-09-29, Colts,  Robert Mathis, , reinstated from suspension
2014-09-29, Panthers,  Frank Alexander, , reinstated from suspension
2014-09-30, Chiefs,  Donald Stephenson, , reinstated from suspension
2014-09-30, Patriots,  Brandon Browner, , reinstated from suspension
2014-09-30, Patriots,  Brian Tyms, , reinstated from suspension
2014-10-01, Panthers, ,  Frank Alexander, suspended by NFL for 10 games for violating the league's substance abuse policy
2014-10-06, Dolphins, ,  Derrick Shelby, suspended by team indefinitely for conduct detrimental to the team (arrested on misdemeanor charges of resisting arrest and trespassing)
2014-10-07, ,  Matt Prater, , reinstated from suspension (NFL)
2014-10-13, Ravens,  Will Hill III, , reinstated from suspension
2014-10-14, Cowboys, ,  Joseph Randle," fined $29,500 by team for criminal incident (date approximate)"
2014-10-14, Dolphins,  Derrick Shelby, , reinstated from suspension
2014-10-15, Bengals, ,  Vontaze Burfict," fined $25,000 by NFL for twisting ankles of opposing players"
2014-10-15, Buccaneers, ,  Jorvorskie Lane, suspended by NFL for 2 games for violating the league's policy on performance enhancing drugs
2014-10-21, Buccaneers, ,  Da'Quan Bowers, suspended by NFL for 2 games for violating the league's policy on performance enhancing drugs
2014-10-25, Dolphins,  Dion Jordan, , reinstated from suspension
2014-10-25, Lions, ,  C.J. Mosley (a), suspended by team for 2 games for conduct detrimental to team
2014-10-27, Colts,  LaRon Landry, , reinstated from suspension
2014-10-28, ,  Andre Brown (b), , reinstated from suspension
2014-10-28, Saints, ,  Joseph Morgan, suspended by team
2014-11-03, Buccaneers,  Da'Quan Bowers, , reinstated from suspension
2014-11-03, Buccaneers,  Jorvorskie Lane, , reinstated from suspension
2014-11-03, Lions,  C.J. Mosley (a), , reinstated from suspension
2014-11-10, 49ers,  Aldon Smith, , reinstated from suspension
2014-11-10, Saints,  Joseph Morgan, , reinstated from suspension
2014-11-11, Cowboys,  Josh Price-Brent / Josh Brent, , reinstated from suspension
2014-11-17, ,  LaVon Brazill, , reinstated from suspension
2014-11-17, Browns,  Josh Gordon, , reinstated from suspension
2014-11-18, Vikings, ,  Adrian Peterson (L.), suspended by NFL for remainder of 2014 season
2014-11-19, Seahawks, ,  Marshawn Lynch," fined $100,000 by NFL for not making himself available to the media"
2014-11-21, , ,  Nikita Whitlock, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2014-11-28, ,  Ray Rice, , reinstated from suspension
2014-12-04, Ravens, ,  Haloti Ngata, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-12-05, , , Rob Ruggiero, suspended by NFL
2014-12-15, Panthers,  Frank Alexander, , reinstated from suspension
2014-12-16, ,  Nikita Whitlock, , reinstated from suspension
2014-12-17, Chargers, ,  Craig Watts, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2014-12-19, , ,  Loucheiz Purifoy, suspended by NFL for 4 games
2014-12-22, Lions, ,  Dominic Raiola, suspended by NFL for 1 game for stepping on ankle of opposing player
2014-12-27, Browns, ,  Josh Gordon, suspended by team for 1 game for violation of team rules
2014-12-28, Browns, ,  Justin Gilbert, suspended
2014-12-29, ,  Rob Ruggiero, , reinstated from suspension
2014-12-29, Browns,  Josh Gordon, , reinstated from suspension
2014-12-29, Browns,  Justin Gilbert, , reinstated from suspension
2014-12-29, Lions, ,  Ndamukong Suh, suspended by NFL for 1 game for stepping on opposing player (later overturned)
2014-12-29, Lions,  Dominic Raiola, , reinstated from suspension
2014-12-29, Ravens,  Haloti Ngata, , reinstated from suspension
2014-12-30, Lions,  Ndamukong Suh, , previous suspension overturned
2014-12-30, Lions, ,  Ndamukong Suh," fined $70,000 by NFL for stepping on opposing player"
2015-01-18, Colts, ,  Trent Richardson, suspended
2015-01-23, Packers, ,  Clay Matthews III," fined $22,050 by NFL"
2015-01-23, Seahawks, ,  Chris Matthews," fined $11,025 by NFL"
2015-01-23, Seahawks, ,  J.R. Sweezy," fined $8,268 by NFL"
2015-01-23, Seahawks, ,  Marshawn Lynch," fined $20,000 by NFL"
2015-02-03, Browns, ,  Josh Gordon, suspended by NFL indefinitely for violating the league's substance abuse policy
2015-02-26, Vikings,  Adrian Peterson (L.), , reinstated from suspension
2015-03-06, , ,  LaRon Landry, suspended by NFL for 10 games for violating the league's policy on performance enhancing drugs
2015-03-30, Browns, ,  Ray Farmer, suspended as GM by NFL for first 4 games of 2015 season for texting team personnel on the sideline from the press box during games
2015-03-30, Falcons, ,  Rich McKay, suspended president & CEO from NFL competition committee for a minimum of 3 months
2015-04-07, Patriots, ,  LeGarrette Blount, suspended by NFL for 1 game for violating the NFL substance abuse policy
2015-04-09, Steelers, ,  Le'veon Bell / Le'Veon Bell, suspended by NFL for 3 games (later reduced to 2 games)
2015-04-10, Giants, ,  Victor Butler, suspended by NFL for 4 games
2015-04-13, , ,  Eben Britton, suspended by NFL for 4 games
2015-04-16, Vikings,  Adrian Peterson (L.), , reinstated from suspension
2015-04-22, Cowboys, ,  Greg Hardy, suspended by NFL for 10 games for violating the league's personal conduct policy
2015-04-28, Dolphins, ,  Dion Jordan, suspended by NFL for 1 year for violating the league's policy on performance enhancing drugs
2015-05-07, ,  Fred Davis (d), , reinstated from suspension
2015-05-11, Patriots, ,  Tom Brady, suspended by NFL for 4 games for conduct detrimental to the integrity of the NFL (his role in deflation of game footballs) (later overturned)
2015-05-21, Bills, ,  Marcell Dareus, suspended by NFL for 1 game for violating the NFL substance abuse policy
2015-05-29, Rams, ,  Trey Watts, suspended by NFL for 4 games for violating the league's substance abuse policy
2015-06-22, , ,  Ahmad Bradshaw, suspended by NFL for 1 game
2015-07-02, Chargers, ,  Antonio Gates, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2015-07-02, Cowboys, ,  Rolando McClain, suspended by NFL for 4 games for violating the league's substance abuse policy
2015-07-02, Jets, ,  Sheldon Richardson, suspended by NFL for 4 games for violating the league's substance abuse policy
2015-07-02, Packers, ,  Datone Jones, suspended by NFL for 1 game for violating the NFL substance abuse policy
2015-07-10, Cowboys, ,  Greg Hardy, previous suspension reduced by NFL from 10 games to 4 games
2015-07-13, , ,  Jakar Hamilton, suspended by NFL for 10 games
2015-07-13, , ,  Jarrett Bush, suspended by NFL for 4 games
2015-07-13, , ,  Loucheiz Purifoy, suspended by NFL for 10 games
2015-07-13, , ,  Quentin Hines, suspended by NFL for 1 game
2015-07-14, Bills, ,  Aaron Kromer, placed offensive line coach on paid administrative leave after he was arrested and charged with battery that caused bodily harm
2015-07-23, Packers, ,  Letroy Guion, suspended by NFL for 3 games for violating the league's substance abuse policy
2015-07-24, Broncos, ,  Derek Wolfe, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2015-07-24, Chiefs, ,  Sean Smith (c), suspended by NFL for 3 games for violating the NFL substance abuse policy (DUI)
2015-07-24, Vikings, ,  Jabari Price, suspended by NFL for 2 games for violating the league's substance abuse policy
2015-07-28, Steelers, ,  Le'veon Bell / Le'Veon Bell, earlier suspension reduced from 3 games to 2 games
2015-07-31, Redskins, ,  Bashaud Breeland, suspended by NFL for 1 game
2015-07-31, Saints, ,  Orson Charles, suspended by NFL for 1 game
2015-08-02, Bills, ,  Aaron Kromer, suspended as offensive line coach by NFL for violating the league's personal conduct policy
2015-08-03, , ,  Ace Sanders, suspended by NFL for 10 games for violating the league's substance abuse policy
2015-08-11, Cardinals, ,  Bobby Massie, suspended by NFL for 3 games for violating the league's substance abuse policy (later reduced to 2 games)
2015-08-13, , ,  Da'Rick Rogers, suspended by NFL for 2 games
2015-08-17, Browns, ,  Ryan Seymour, suspended by NFL for 4 games (date 09-05 per NFL)
2015-08-17, Buccaneers, ,  Akeem Spence, suspended by NFL for 1 game for violating the league's substance abuse policy
2015-08-18, 49ers, ,  Jerome Simpson, suspended by NFL for 6 games for violating the league's substance abuse policy
2015-08-20, Jets, ,  Oday Aboushi, suspended by NFL for 1 game for violating the league's substance abuse policy
2015-08-21, , ,  Jarrett Bush, suspended by NFL for 10 games
2015-08-24, Bears, ,  Jeremiah Ratliff / Jay Ratliff, suspended by NFL for 3 games for violating the league's substance abuse policy (date 09-05 per NFL)
2015-08-27, Steelers, ,  Martavis Bryant, suspended by NFL for 4 games for violating the league's substance abuse policy
2015-09-03, Broncos, ,  T.J. Ward, suspended by NFL for 1 game for violating the league's personal conduct policy
2015-09-03, Patriots,  Tom Brady, , earlier 4-game suspension overturned by U.S. District Judge
2015-09-05, Cardinals, ,  Bobby Massie, prior suspension reduced to 2 games
2015-09-05, Cowboys, ,  R.J. Dill, suspended by NFL for 4 games for violation of the league's performance enhancing drug policy
2015-09-07, Browns, ,  Andy Moeller, suspended as offensive line coach by team indefinitely
2015-09-08, , ,  Brandon Spikes, suspended by NFL for 4 games
2015-09-08, , ,  Jermaine Cunningham, suspended by NFL for 6 games
2015-09-08, , ,  Jonathan Dwyer, suspended by NFL for 3 games
2015-09-08, , ,  Mike Williams (Anthony), suspended by NFL for 3 games
2015-09-08, , ,  Rodney Austin, suspended by NFL for 6 games
2015-09-11, Patriots,  LeGarrette Blount, , reinstated from suspension
2015-09-11, Bills, ,  Ikemefuna Enemkpali / I.K. Enemkpali, suspended by NFL for 4 games for violating the league's personal conduct policy
2015-09-14, Bills,  Marcell Dareus, , reinstated from suspension
2015-09-14, Broncos,  T.J. Ward, , reinstated from suspension
2015-09-14, Buccaneers,  Akeem Spence, , reinstated from suspension
2015-09-14, Jets,  Oday Aboushi, , reinstated from suspension
2015-09-14, Packers,  Datone Jones, , reinstated from suspension
2015-09-14, Patriots,  LeGarrette Blount, , reinstated from suspension (S)
2015-09-14, Redskins, ,  Chris Culliver, suspended by NFL for 1 game
2015-09-14, Redskins,  Bashaud Breeland, , reinstated from suspension
2015-09-15, ,  Ahmad Bradshaw, , reinstated from suspension
2015-09-15, ,  Orson Charles, , reinstated from suspension
2015-09-18, , ,  Sean Donnelly, suspended by NFL
2015-09-21, Cardinals,  Bobby Massie, , reinstated from suspension
2015-09-21, Redskins,  Chris Culliver, , reinstated from suspension
2015-09-21, Steelers,  Le'veon Bell / Le'Veon Bell, , reinstated from suspension
2015-09-21, Vikings,  Jabari Price, , reinstated from suspension
2015-09-21, Chargers,  Craig Watts, , reinstated from suspension
2015-09-28, Bears,  Jeremiah Ratliff / Jay Ratliff, , reinstated from suspension
2015-09-29, Chiefs,  Sean Smith (c), , reinstated from suspension
2015-09-29, Packers,  Letroy Guion, , reinstated from suspension
2015-10-01, , ,  A.J. Cruz, suspended by NFL
